,Ambient_Temperature,Motor_Temperature,Gearbox_Temperature,Lock_Temperature,Control_Cabinet_Temperature,Motor_Current,Operation_Count,Operation_Duration,Days_Since_Last_Maintenance,Health_Index
Ambient_Temperature,1.0,0.9529768481866681,0.9469047951914394,0.9915909659955171,0.9977473745410393,-0.17941846760206598,-0.000595413600008944,-0.004664031113664786,0.01479425026335385,0.05192062159952439
Motor_Temperature,0.9529768481866681,1.0,0.9706008292889701,0.9725860190436014,0.9547492902961431,0.05227443487260745,0.11654602073382711,0.2213954767650523,0.024553438720098693,-0.16104275135608115
Gearbox_Temperature,0.9469047951914394,0.9706008292889701,1.0,0.9616879615371009,0.9473915712284289,-0.016345831569897495,0.09207626612974305,0.14830040904551609,0.021594191659388404,-0.09010665266206003
Lock_Temperature,0.9915909659955171,0.9725860190436014,0.9616879615371009,1.0,0.9909119913589065,-0.08957626239212302,0.04430134498709268,0.08541736645646313,0.01938565474882369,-0.032791391576121175
Control_Cabinet_Temperature,0.9977473745410393,0.9547492902961431,0.9473915712284289,0.9909119913589065,1.0,-0.16206140628575824,0.010377294727302129,0.010655980584004309,0.01593776601927007,0.037682021909665894
Motor_Current,-0.17941846760206598,0.05227443487260745,-0.016345831569897495,-0.08957626239212302,-0.16206140628575824,1.0,0.6274187830318653,0.8759261066807268,0.05982482548995036,-0.8097777517274132
Operation_Count,-0.000595413600008944,0.11654602073382711,0.09207626612974305,0.04430134498709268,0.010377294727302129,0.6274187830318653,1.0,0.5376677865569842,0.01978262159473089,-0.2380352843657029
Operation_Duration,-0.004664031113664786,0.2213954767650523,0.14830040904551609,0.08541736645646313,0.010655980584004309,0.8759261066807268,0.5376677865569842,1.0,0.03428825359560375,-0.8032277493443151
Days_Since_Last_Maintenance,0.01479425026335385,0.024553438720098693,0.021594191659388404,0.01938565474882369,0.01593776601927007,0.05982482548995036,0.01978262159473089,0.03428825359560375,1.0,-0.3155218436944857
Health_Index,0.05192062159952439,-0.16104275135608115,-0.09010665266206003,-0.032791391576121175,0.037682021909665894,-0.8097777517274132,-0.2380352843657029,-0.8032277493443151,-0.3155218436944857,1.0
